     OBJECTID_1       GIS_ID  FEDTRACTNO  TRACTNO  AREASQMI   POPDENSITY  TOTAL              NAME  FULLTOTAL  AGE0_17  AGE0_17PCT  AGE18PLUS  AGE18PLUSP  CHTOTAL  CHWHITE  CHBLACK  CHAMERIND  CHASIAN  CHHISP  CHOTHER  TOTALPERC  TOTAL90  TOTAL00  TOTPOPCHG  TOTPOPCHGP  WHITE  BLACK  AMERIND  ASIAN  HAWAIIAN  OTHER  HISPANIC  OCCUPIEDHO  PCTOWNEROC  TRACT90         COMMENT_  MRDCHREL  MRDCHRELNO  MHHCHREL  MHHCHRELNO  FMHHCHREL  FMHHCHRELN  MARRIED  TOTHOUSEUN  SINGLEFAMI  MULTIUNIT  CONSTRCOST  SINGLECOST  MULTICOST  MULTIPERSO  SINGLEPERS  FAGI_TOTAL_2005  FAGI_MEAN_2005  FAGI_MEDIAN_2005  FAGI_TOTAL_2006  FAGI_MEDIAN_2006  AREA  LEN  SHAPE_Length    SHAPE_Area
33           34  Tract00_052       92.04    92.40   0.10855  21391.06403   2322  2000 Tract 92.04       1089      627     0.27002       1695     0.72997     -107       10     -144         11        6      57       30     -4.405     2429     2322       -107    -0.04405     29   2163        7      8         0      0       101         126     0.11570     92.4                         60          81        22          21        173         114      141           0           0          0           0           0          0          81         537       18104527.0      27265.8539           22258.5       16019683.0           26279.0     0    0   2521.432225  2.811562e+05
34           35  Tract00_053       40.01    40.10   0.10548  32935.15358   3474  2000 Tract 40.01       2346      163     0.04691       3311     0.95308      449      353       19         12      105     -23       40     14.843     3025     3474        449     0.14842   2779    171        6    151         2     13       289        1028     0.43819     40.1                         85         335         7          10         26          26      420           0           0          0           0           0          0         368        1489      186187073.0     100424.5270           59553.5      178056584.0           72633.5     0    0   2356.739558  2.731955e+05
35           36  Tract00_055       40.02    40.20   0.07571  36692.64298   2778  2000 Tract 40.02       1760      178     0.06407       2600     0.93592     -238       22     -287         11      120     -74       -6     -7.891     3016     2778       -238    -0.07891   1841    317        7    215         0      9       317         620     0.35227     40.2                         73         181         6          15         21          34      254           0           0          0           0           0          0         353        1077      126332228.0      74400.6054           48403.5      127183432.0           59919.5     0    0   2132.691661  1.960787e+05
36           37  Tract00_056       87.02    87.20   0.19534   9808.53896   1916  2000 Tract 87.02        726      460     0.24008       1456     0.75991     -179       12     -252         33        6      29       66     -8.544     2095     1916       -179    -0.08544     42   1743       13      5         0     11        71         235     0.32369     87.2                         50          84        12          45        100          92      134           0           0          0           0           0          0          58         285       17028955.0      28287.3007           22572.0       15630713.0           26436.0     0    0   3708.695014  5.059438e+05
37           38  Tract00_152        8.02     8.20   0.92564   3031.41610   2806   2000 Tract 8.02       1348      347     0.12366       2459     0.87633      115       27       -3          7      112       0       24      4.274     2691     2806        115     0.04273   2304     87        3    196         0     10       163         749     0.55563      8.2                        168         273        11          14         41          43      441           1           1          0      275000      275000          0         248         550      151191673.0     124437.5909           63914.0      165931018.0           76966.0     0    0   6538.658845  2.397407e+06
38           39  Tract00_060       42.01    42.10   0.07896  42958.45998   3392  2000 Tract 42.01       2160      163     0.04805       3229     0.95194     -272      335     -435         28       68    -252     -135     -7.424     3664     3392       -272    -0.07423   2368    465        8    140         2     13       297         749     0.34675     42.1                         50         176         8          33         27          41      226           0           0          0           0           0          0         530        1295      134578653.0      70239.3805           49433.0      144823411.0           59536.0     0    0   1842.838800  2.045004e+05
39           40  Tract00_061       87.01    87.10   0.14844  16269.19968   2415  2000 Tract 87.01        761      622     0.25755       1793     0.74244     -388       10     -393          8        2      20       21    -13.842     2803     2415       -388    -0.13842     34   2284        1     15         0      0        50         492     0.64651     87.1                         66          92        11          39        106         172      158           0           0          0           0           0          0          63         212       29708610.0      34226.5092           25707.5       25616626.0           29655.5     0    0   2699.932504  3.844562e+05
40           41  Tract00_183       96.01    96.10   0.80488   2910.99294   2343  2000 Tract 96.01        738      914     0.39009       1429     0.60990      944        1      936         10       12       6       11     67.477     1399     2343        944     0.67476     11   2289       10      7         0      0         6         325     0.44037     96.1                         76          99        21          23        205         133      175           0           0          0           0           0          0          18         163       25056387.0      31281.3820           24064.0       22361527.0           28553.5     0    0   6684.483645  2.084649e+06
41           42  Tract00_153        2.02     2.20   0.46942   8201.61050   3850   2000 Tract 2.02       1916      315     0.08181       3535     0.91818      211      111       11          4      116       9       46      5.798     3639     3850        211     0.05798   3314     60        2    201         1     14       190        1080     0.56367      2.2                        159         408        11          22         27          30      567           0           0          0           0           0          0         462         797      238180729.0     176560.9555           80963.0      225030623.0          101727.5     0    0   6522.358915  1.215787e+06
42           43  Tract00_064       88.04    88.40   0.30371   7497.28359   2277  2000 Tract 88.04       1031      615     0.27009       1662     0.72990     -817        1     -819         22        4      -3       11    -26.406     3094     2277       -817    -0.26405      5   2211       11      9         1      1        11         233     0.22599     88.4                         43          96        33          42        168         145      139           0           0          0           0           0          0          73         431       21187081.0      26092.4643           22130.0       19336559.0           26717.0     0    0   3901.319539  7.866058e+05
43           44  Tract00_065       33.02    33.20   0.07668  23865.41471   1830  2000 Tract 33.02        643      415     0.22677       1415     0.77322     -161      -30     -163          9       24      14       31     -8.086     1991     1830       -161    -0.08086     63   1664        2     22         0      2        52         381     0.59253     33.2                         56          95        18          34         77         103      151           0           0          0           0           0          0          93         167       37066299.0      48771.4461           36876.0       34202365.0           44274.0     0    0   1890.931453  1.986128e+05
44           45  Tract00_066       42.02    42.20   0.08046  35906.04027   2889  2000 Tract 42.02       1908      130     0.04499       2759     0.95500      283      310      -88         12      171     -40       -7     10.860     2606     2889        283     0.10859   2025    207        4    273         2     13       272         522     0.27358     42.2                         65         207         2          26         11          30      272           0           0          0           0           0          0         317        1250      110531149.0      73983.3661           50004.5      113191844.0           62772.5     0    0   2102.831346  2.083956e+05
45           46  Tract00_182       78.06    78.60   0.27508   7754.10790   2133  2000 Tract 78.06        900      523     0.24519       1610     0.75480     -252       -8     -241          7        2       1        4    -10.566     2385     2133       -252    -0.10566      8   2087        7      4         0      1        13         425     0.47222     78.6                         70         129        32          35        118         126      199           2           2          0      146150      146150          0          67         323       25529972.0      30759.0024           25798.5       22863705.0           27918.0     0    0   4157.271837  7.124522e+05
46           47  Tract00_076       53.02    53.20   0.11225   1559.02004    175  2000 Tract 53.02        123        2     0.01142        173     0.98857       -9        2      -11          3        4      13        1     -4.891      184      175         -9    -0.04891    130      7        0      8         0      0        23          81     0.65853     53.2                          2          19         0           2          0           1       21          82           0         82    16098043           0   16098043          20          79       41256035.0     238474.1908           61414.0       43296410.0           60401.5     0    0   2690.535218  2.907401e+05
47           48  Tract00_077       54.01    54.10   0.11526  12684.36578   1462  2000 Tract 54.01        951       13     0.00889       1449     0.99110      374      289        2          5      109      29       14     34.375     1088     1462        374     0.34375   1066     73        3    166         8      2       110         143     0.15036     54.1                          6          64         1          10          2           8       70           0           0          0           0           0          0         154         706       49092416.0      96071.2642           48858.0       67320896.0           62070.0     0    0   2523.585602  2.985215e+05
48           49  Tract00_079       49.02    49.20   0.10188  22438.16254   2286  2000 Tract 49.02       1008      543     0.23753       1743     0.76246      712      187      393         28       36     208      120     45.235     1574     2286        712     0.45235    246   1341        4     52         0      8       610         102     0.10119     49.2                        108          74        25          46        129          71      182           0           0          0           0           0          0         146         409       48846910.0      49240.8367           35150.0       44909197.0           41528.0     0    0   2052.298104  2.638616e+05
49           50  Tract00_080       48.02    48.20   0.11124  25647.24919   2853  2000 Tract 48.02       1154      734     0.25727       2119     0.74272     -237      -10     -492         22      203      96       78     -7.670     3090     2853       -237    -0.07669    149   2155        6    333         0      6       174         172     0.14904     48.2                        103         128        16          42        224         139      231           2           0          2       71715           0      71715          95         407       42851004.0      34008.7333           26727.5       37853540.0           30076.0     0    0   2192.284562  2.881053e+05
50           51  Tract00_081       96.02    96.20   0.52454   5921.37873   3106  2000 Tract 96.02       1302     1115     0.35898       1991     0.64101      634        3      609         20       11      27       11     25.647     2472     3106        634     0.25647      8   3035        5      5         2      0        31         103     0.07910     96.2                         79          77        26          30        424         188      156           0           0          0           0           0          0          70         408       26282422.0      25467.4632           22584.5       24300702.0           26314.0     0    0   4603.392040  1.358568e+06
51           52  Tract00_083       88.02    88.20   0.18214  22839.57395   4160  2000 Tract 88.02       1639     1074     0.25817       3086     0.74182     -612       36     -650         39       12      15       10    -12.825     4772     4160       -612    -0.12824     49   3980       11      9         0      1        57         761     0.46430     88.2                         85         229        46          68        203         269      314           0           0          0           0           0          0         118         621       47721762.0      30261.1046           24674.0       42330307.0           28226.0     0    0   2848.613638  4.717534e+05
52           53  Tract00_085       89.03    89.30   0.11709  20462.89179   2396  2000 Tract 89.03       1040      637     0.26585       1759     0.73414     -961       15     -972         -1        8      17       15    -28.627     3357     2396       -961    -0.28626     13   2315        2     13         0      1        35         330     0.31730     89.3                         54         117        33          51        177         151      171           0           0          0           0           0          0          67         390       27371506.0      25509.3253           21625.0       25012562.0           25570.0     0    0   2988.675848  3.032555e+05
53           54  Tract00_088       89.04    89.40   0.17626  18427.32327   3248  2000 Tract 89.04       1440      926     0.28509       2322     0.71490     -615       17     -637         13        9      -2       16    -15.920     3863     3248       -615    -0.15920     27   3140       16      1         0      4        35         161     0.11180     89.4                         74         108        34          52        294         207      182           0           0          0           0           0          0          88         583       30357860.0      23138.6128           20269.0       25919022.0           23373.0     0    0   3121.612529  4.565091e+05
54           55  Tract00_181       78.07    78.70   0.20521   9312.41168   1911  2000 Tract 78.07        733      503     0.26321       1408     0.73678     -304       -9     -277          9        3     -12       -2    -13.725     2215     1911       -304    -0.13724      8   1850        4      5         0      1        23         323     0.44065     78.7                         51         103        23          38        114         148      154           1           1          0       65392       65392          0          44         212       21697977.0      29440.9457           25432.0       19199607.0           29075.5     0    0   3311.686857  5.315011e+05
